county,district,detail
Mendocino County,dist01,
Lake County,dist02,
Sonoma County,dist03,
Marin County,dist03,
Napa County,dist04,
Solano County,dist05,
Alameda County,dist06,
Contra Costa County,dist06,
Santa Clara County,dist06,
San Francisco County,dist06,
San Mateo County,dist06,
Santa Cruz County,dist06,
Monterey County,dist07,
San Benito County,dist07,
Ventura County,dist08,
San Luis Obispo County,dist08,
Santa Barbara County,dist08,
Yolo County,dist09,north of Interstate 80 to the junction of Interstate 80 and U.S. 50 and north of U.S. 50
Sacramento County,dist09,north of U.S. 50
Lassen County,dist09,
Shasta County,dist09,
Trinity County,dist09,
Humboldt County,dist09,
Modoc County,dist09,
Siskiyou County,dist09,
Del Norte County,dist09,
Yuba County,dist09,
Sutter County,dist09,
Colusa County,dist09,
Butte County,dist09,
Glenn County,dist09,
Plumas County,dist09,
Tehama County,dist09,
Sierra County,dist09,
Tuolumne County,dist10,
Calaveras County,dist10,
Amador County,dist10,
El Dorado County,dist10,
Placer County,dist10,
Nevada County,dist10,
Mariposa County,dist10,
San Joaquin County,dist11,north of State Highway 4
Sacramento County,dist11,south of U.S. 50 and east of Interstate 5
Stanislaus County,dist12,
San Joaquin County,dist12,south of State Highway 4
Merced County,dist12,
Kings County,dist13,north of Nevada Avenue (Avenue 192)
Inyo County,dist13,
Mono County,dist13,
Alpine County,dist13,
Fresno County,dist13,
Madera County,dist13,
Tulare County,dist13,north of Nevada Avenue (Avenue 192)
Kings County,dist14,south of Nevada Avenue (Avenue 192)
Tulare County,dist14,south of Nevada Avenue (Avenue 192)
Kern County,dist14,
San Bernardino County,dist15,
Los Angeles County,dist15,
Imperial County,dist16,
San Diego County,dist16,
Orange County,dist16,
Riverside County,dist16,
Yolo County,dist17,south of Interstate 80 from the Solano County line to the Junction of Interstate 80 and U.S. 50 and south of U.S. 50
Sacramento County,dist17,south of U.S. 50 and west of Interstate 5