district,variety,wt_ave_base,tons,type,brixfactor,revenue
dist01,Other Raisin  b/ ,2000.0,4.3,Raisin,100.0,8000
dist01,Albarino ,2400.0,1.6,White Wine,10700.0,2400
dist01,Arneis ,1908.2,30.5,White Wine,9450.0,57240
dist01,Chardonnay * ,1327.84,15402.5,White Wine,8224.535353535353,20438454
dist01,Chenin Blanc ,1723.96,130.7,White Wine,4466.785714285715,223990
dist01,Cortese ,2000.0,9.3,White Wine,100.0,18000
dist01,French Colombard ,1232.48,122.9,White Wine,4985.625,150304
dist01,Gewurztraminer ,2154.79,202.0,White Wine,4150.0,435108
dist01,Grenache Blanc ,1900.0,1.0,White Wine,100.0,1900
dist01,Grenache Gris ,3000.0,10.9,White Wine,5700.0,30000
dist01,Gruner Veltliner ,2080.65,3.1,White Wine,8550.0,6240
dist01,Marsanne ,2782.61,13.8,White Wine,100.0,36166
dist01,Muscat Blanc * ,1000.64,90.4,White Wine,3957.1428571428573,90000
dist01,Muscat Orange ,1859.75,17.1,White Wine,16300.0,31603
dist01,Picpoul Blanc ,4000.0,0.9,White Wine,100.0,0
dist01,Pinot Blanc ,1477.11,42.7,White Wine,9480.0,62034
dist01,Pinot Gris * ,1637.35,244.5,White Wine,1553.3333333333333,399428
dist01,Roussanne ,2107.43,41.2,White Wine,100.0,86387
dist01,Sauvignon Blanc ,1392.56,2669.9,White Wine,6549.8125,3715248
dist01,Sauvignon Musque ,1600.0,91.7,White Wine,100.0,145600
dist01,Semillon ,1695.39,65.1,White Wine,3444.4444444444443,110175
dist01,Tocai Friulano ,1490.74,27.0,White Wine,100.0,40230
dist01,Viognier ,1409.51,225.5,White Wine,10345.0,317025
dist01,White Riesling * ,2459.83,120.8,White Wine,5300.0,295080
dist01,Other White  b/ ,3000.0,3.3,White Wine,100.0,9000
dist01,Barbera ,1830.75,88.6,Red Wine,3870.0,161040
dist01,Cabernet Franc ,3168.59,19.1,Red Wine,5200.0,60192
dist01,Cabernet Sauvignon ,1989.79,6480.5,Red Wine,11309.929411764706,12888720
dist01,Carignane ,1412.49,852.8,Red Wine,7502.0,1203024
dist01,Carmenere ,2200.0,2.3,Red Wine,8650.0,4400
dist01,Charbono ,1833.98,25.9,Red Wine,9047.0,45825
dist01,Cinsaut * ,4225.0,4.2,Red Wine,100.0,16900
dist01,Counoise ,3982.76,2.9,Red Wine,100.0,7964
dist01,Dolcetto ,1778.45,86.7,Red Wine,6466.666666666667,152908
dist01,Gamay (Napa) * ,1675.5,65.3,Red Wine,1566.8181818181818,108875
dist01,Grenache * ,2154.64,435.1,Red Wine,10685.365853658537,936990
dist01,Malbec ,1842.31,70.9,Red Wine,8500.0,128940
dist01,Merlot ,1340.63,2546.3,Red Wine,6674.523809523809,3411640
dist01,Montepulciano ,2100.0,3.8,Red Wine,3467.5,6300
dist01,Mourvedre * ,4148.58,17.6,Red Wine,100.0,70516
dist01,Nebbiolo ,2378.49,18.6,Red Wine,12200.0,42804
dist01,Negroamaro ,1800.0,4.2,Red Wine,100.0,7200
dist01,Nero D'Avola * ,2100.0,6.9,Red Wine,100.0,12600
dist01,Petit Verdot ,1908.03,43.5,Red Wine,12580.0,82044
dist01,Petite Sirah ,1872.21,1273.8,Red Wine,12230.407407407407,2383056
dist01,Pinot Noir ,3141.2,3178.4,Red Wine,5263.532110091744,9982098
dist01,Pinotage ,1507.02,18.7,Red Wine,100.0,27126
dist01,Primitivo ,1618.97,63.9,Red Wine,3560.0,101934
dist01,Sangiovese * ,1929.92,193.2,Red Wine,5707.142857142857,372297
dist01,Syrah * ,1649.41,1224.3,Red Wine,8850.0,2018376
dist01,Tannat ,3789.37,9.5,Red Wine,100.0,34101
dist01,Tempranillo * ,1824.14,5.8,Red Wine,9450.0,9120
dist01,Tinta Cao ,1400.0,1.1,Red Wine,100.0,1400
dist01,Touriga Nacional * ,1400.0,14.1,Red Wine,100.0,19600
dist01,Trousseau * ,2337.21,4.3,Red Wine,100.0,9348
dist01,Zinfandel ,1737.41,3725.2,Red Wine,11231.035714285714,6470325
dist01,Other Red  b/ ,2097.23,44.6,Red Wine,1642.857142857143,92268
dist02,Chardonnay * ,1309.06,1193.8,White Wine,10875.8,1561637
dist02,Gewurztraminer ,1623.15,82.6,White Wine,100.0,133086
dist02,Grenache Blanc ,2000.0,1.1,White Wine,100.0,2000
dist02,Muscat Blanc * ,1256.85,210.5,White Wine,11079.09090909091,263760
dist02,Muscat Orange ,1550.0,15.0,White Wine,20800.0,23250
dist02,Picpoul Blanc ,1300.0,0.6,White Wine,100.0,0
dist02,Pinot Blanc ,4000.0,1.1,White Wine,17800.0,4000
dist02,Pinot Gris * ,1290.46,79.7,White Wine,10450.0,101910
dist02,Roussanne ,1568.3,45.1,White Wine,8333.333333333334,70560
dist02,Sauvignon Blanc ,1247.27,12373.4,White Wine,9161.085714285715,15429131
dist02,Sauvignon Musque ,1303.68,152.3,White Wine,14700.0,198056
dist02,Semillon ,1270.2,123.5,White Wine,4980.0,156210
dist02,Vermentino * ,1800.0,4.2,White Wine,100.0,7200
dist02,Viognier ,1373.34,67.6,White Wine,7066.666666666667,91991
dist02,White Riesling * ,1396.11,46.3,White Wine,100.0,64216
dist02,Aglianico ,1100.0,0.5,Red Wine,100.0,0
dist02,Barbera ,1550.81,92.3,Red Wine,13125.0,142600
dist02,Cabernet Franc ,2037.3,281.9,Red Wine,17805.76923076923,572397
dist02,Cabernet Sauvignon ,2333.23,13915.2,Red Wine,10823.655913978495,32463695
dist02,Charbono ,1319.15,4.7,Red Wine,8550.0,5276
dist02,Dolcetto ,1500.0,1.3,Red Wine,17800.0,1500
dist02,Grenache * ,1729.87,104.5,Red Wine,5812.5,179816
dist02,Malbec ,1792.38,753.2,Red Wine,12061.0,1349376
dist02,Merlot ,1308.34,885.1,Red Wine,12426.85,1157580
dist02,Montepulciano ,1347.06,8.5,Red Wine,100.0,10776
dist02,Mourvedre * ,1881.99,64.4,Red Wine,100.0,120384
dist02,Nero D'Avola * ,3000.0,5.8,Red Wine,100.0,15000
dist02,Petit Verdot ,2219.37,272.4,Red Wine,8461.666666666666,603568
dist02,Petite Sirah ,1904.46,2055.5,Red Wine,13220.833333333334,3912720
dist02,Pinot Noir ,1284.01,277.9,Red Wine,11757.142857142857,355668
dist02,Primitivo ,900.0,6.0,Red Wine,100.0,5400
dist02,Sangiovese * ,1543.39,25.2,Red Wine,100.0,38575
dist02,Souzao ,1250.0,4.8,Red Wine,100.0,5000
dist02,St Laurent ,2500.0,2.5,Red Wine,100.0,5000
dist02,Syrah * ,1761.28,477.3,Red Wine,10111.363636363636,839997
dist02,Tempranillo * ,2057.64,125.3,Red Wine,14036.111111111111,257125
dist02,Touriga Nacional * ,1740.59,20.2,Red Wine,15050.0,34800
dist02,Trousseau * ,1800.0,20.9,Red Wine,12200.0,36000
dist02,Zinfandel ,1551.31,1086.4,Red Wine,8217.391304347826,1684386
dist02,Other Red  b/ ,2333.33,4.5,Red Wine,100.0,9332
dist03,Red Globe * ,3000.0,19.7,Table,100.0,57000
dist03,Albarino ,2531.1,50.2,White Wine,3475.0,126550
dist03,Chardonnay * ,2414.55,46787.5,White Wine,6693.705679862306,112943818
dist03,Chenin Blanc ,1770.74,35.2,White Wine,5360.0,61950
dist03,Fiano ,2409.7,16.5,White Wine,4433.333333333333,38544
dist03,French Colombard ,1328.13,50.6,White Wine,2800.0,66400
dist03,Gewurztraminer ,1967.57,86.0,White Wine,1225.0,169162
dist03,Gray Riesling * ,2505.91,39.4,White Wine,3304.375,97695
dist03,Grenache Blanc ,3081.96,64.6,White Wine,4890.0,197184
dist03,Gruner Veltliner ,2700.0,3.4,White Wine,100.0,8100
dist03,Malvasia Bianca ,2164.75,26.1,White Wine,10450.0,56264
dist03,Marsanne ,2655.91,44.1,White Wine,4220.0,116820
dist03,Melon ,2146.0,14.1,White Wine,8950.0,30044
dist03,Muscat Blanc * ,3110.2,18.5,White Wine,100.0,55980
dist03,Muscat of Alexandria ,6000.0,1.9,White Wine,100.0,6000
dist03,Palomino * ,2453.77,7.7,White Wine,11500.0,17171
dist03,Picpoul Blanc ,2797.83,4.6,White Wine,4375.0,11188
dist03,Pinot Blanc ,2276.11,160.8,White Wine,4325.0,364160
dist03,Pinot Gris * ,1907.19,822.0,White Wine,7016.0,1567554
dist03,Ribolla Gialla * ,2788.34,16.3,White Wine,8025.0,44608
dist03,Roussanne ,2892.78,69.6,White Wine,4457.142857142857,199548
dist03,Sauvignon Blanc ,1814.4,10460.9,White Wine,7053.9064327485385,18974440
dist03,Sauvignon Musque ,1820.39,145.9,White Wine,2514.285714285714,263900
dist03,Sauvignon Vert * ,2408.75,7.8,White Wine,100.0,16856
dist03,Semillon ,2498.42,173.7,White Wine,2090.0,432154
dist03,Tocai Friulano ,2690.83,6.0,White Wine,7000.0,16140
dist03,Verdejo ,1725.0,3.4,White Wine,100.0,5175
dist03,Verdelho ,2000.0,1.0,White Wine,100.0,2000
dist03,Vermentino * ,2376.34,87.5,White Wine,2420.0,206712
dist03,Vernaccia ,2684.55,24.7,White Wine,100.0,64416
dist03,Viognier ,2696.31,335.6,White Wine,5178.571428571428,903160
dist03,White Riesling * ,2293.27,139.5,White Wine,4573.333333333333,318727
dist03,Other White  b/ ,2741.91,20.4,White Wine,6448.071428571428,54820
dist03,Aglianico ,3770.49,6.1,Red Wine,100.0,22620
dist03,Aleatico ,2723.35,16.7,Red Wine,575.0,43568
dist03,Alicante Bouschet * ,3075.89,88.3,Red Wine,8682.6,270600
dist03,Barbera ,3260.79,103.7,Red Wine,3464.705882352941,335780
dist03,Blaufraenkisch * ,2000.0,0.5,Red Wine,17400.0,0
dist03,Cabernet Franc ,3815.93,831.1,Red Wine,6202.35294117647,3170265
dist03,Cabernet Sauvignon ,3055.25,27293.4,Red Wine,7807.910364145659,83380115
dist03,Carignane ,2574.13,304.1,Red Wine,6264.285714285715,782496
dist03,Charbono ,1500.0,2.0,Red Wine,100.0,3000
dist03,Cinsaut * ,3074.85,19.2,Red Wine,1787.5,58406
dist03,Counoise ,2406.56,4.2,Red Wine,100.0,9624
dist03,Dolcetto ,2747.06,11.9,Red Wine,8400.0,30217
dist03,Gamay (Napa) * ,2313.75,20.6,Red Wine,7242.857142857143,46260
dist03,Grenache * ,3203.49,509.4,Red Wine,8936.194029850747,1630327
dist03,Malbec ,3041.79,707.9,Red Wine,5482.371794871795,2149987
dist03,Merlot ,2000.21,7891.3,Red Wine,7021.900662251655,15782000
dist03,Meunier * ,2526.8,181.6,Red Wine,5490.0,457206
dist03,Montepulciano ,4793.81,9.7,Red Wine,100.0,43137
dist03,Mourvedre * ,3455.43,104.8,Red Wine,6773.333333333333,359320
dist03,Nebbiolo ,2306.25,8.0,Red Wine,4280.0,18448
dist03,Petit Verdot ,3403.84,384.3,Red Wine,5821.774193548387,1306752
dist03,Petite Sirah ,3159.83,1348.9,Red Wine,5926.92380952381,4258332
dist03,Pinot Noir ,3944.51,25905.0,Red Wine,8757.332197614991,102169320
dist03,Primitivo ,2541.6,199.6,Red Wine,2217.6470588235293,505659
dist03,Refosco * ,3444.0,0.7,Red Wine,13100.0,0
dist03,Sagrantino ,2960.0,6.0,Red Wine,100.0,17760
dist03,Sangiovese * ,2576.01,363.9,Red Wine,4947.058823529412,935088
dist03,St Laurent ,2547.91,17.5,Red Wine,4600.0,43299
dist03,Syrah * ,2812.1,2208.4,Red Wine,8358.173652694612,6208896
dist03,Tannat ,4297.96,4.9,Red Wine,14700.0,17188
dist03,Tempranillo * ,2997.79,13.6,Red Wine,100.0,38961
dist03,Teroldego ,2600.0,1.0,Red Wine,100.0,2600
dist03,Tinta Cao ,4729.11,4.2,Red Wine,100.0,18916
dist03,Touriga Nacional * ,3000.0,4.3,Red Wine,100.0,12000
dist03,Trousseau * ,2737.26,10.5,Red Wine,6784.0,27370
dist03,Zinfandel ,3141.9,10595.8,Red Wine,9335.455830388693,33278895
dist03,Other Red  b/ ,3575.49,204.1,Red Wine,1172.7272727272727,729300
dist04,Albarino ,4135.17,39.0,White Wine,7614.285714285715,161265
dist04,Arneis ,2759.61,2.2,White Wine,5500.0,5518
dist04,Chardonnay * ,3031.48,14042.6,White Wine,6817.878151260505,42561302
dist04,Chenin Blanc ,3003.18,18.7,White Wine,2028.5714285714287,54054
dist04,Fiano ,2765.69,2.2,White Wine,100.0,5530
dist04,Flora ,2310.11,20.8,White Wine,7400.0,46200
dist04,Gewurztraminer ,2000.0,8.7,White Wine,100.0,16000
dist04,Grenache Blanc ,2496.47,30.9,White Wine,4666.666666666667,74880
dist04,Gruner Veltliner ,1800.0,1.7,White Wine,100.0,1800
dist04,Malvasia Bianca ,2690.91,4.4,White Wine,3766.6666666666665,10760
dist04,Marsanne ,5200.0,2.4,White Wine,70635.0,10400
dist04,Muscat Blanc * ,2373.1,53.4,White Wine,4216.666666666667,125769
dist04,Muscat of Alexandria ,2038.0,4.0,White Wine,100.0,8152
dist04,Picpoul Blanc ,2000.0,6.6,White Wine,100.0,12000
dist04,Pinot Blanc ,1929.87,37.5,White Wine,2000.0,71373
dist04,Pinot Gris * ,1879.17,220.2,White Wine,2300.0,413380
dist04,Ribolla Gialla * ,3424.76,18.2,White Wine,3800.0,61632
dist04,Sauvignon Blanc ,2485.34,7153.5,White Wine,4955.428571428572,17775205
dist04,Sauvignon Gris ,2373.82,2.9,White Wine,100.0,4746
dist04,Sauvignon Musque ,2461.12,130.1,White Wine,1812.5,319930
dist04,Sauvignon Vert * ,2739.33,16.4,White Wine,2260.0,43824
dist04,Semillon ,3089.01,287.9,White Wine,2462.8571428571427,886543
dist04,Tocai Friulano ,3347.78,7.9,White Wine,2733.3333333333335,23429
dist04,Verdejo ,2500.0,2.0,White Wine,100.0,5000
dist04,Vermentino * ,2175.52,34.5,White Wine,3516.6666666666665,73950
dist04,Viognier ,3780.3,69.7,White Wine,8322.894736842105,260820
dist04,White Riesling * ,2970.29,132.6,White Wine,100.0,392040
dist04,Other White  b/ ,2507.96,0.5,White Wine,100.0,0
dist04,Aleatico ,3200.0,2.4,Red Wine,100.0,6400
dist04,Barbera ,2424.33,2.1,Red Wine,8500.0,4848
dist04,Cabernet Franc ,9257.9,1364.9,Red Wine,5282.279792746114,12626548
dist04,Cabernet Sauvignon ,7942.93,45241.7,Red Wine,7368.685540950455,359304022
dist04,Carignane ,3388.43,10.1,Red Wine,7666.666666666667,33880
dist04,Charbono ,3954.56,124.1,Red Wine,100.0,490296
dist04,Cinsaut * ,5342.71,0.9,Red Wine,100.0,0
dist04,Counoise ,3000.0,0.6,Red Wine,13800.0,0
dist04,Dolcetto ,2753.83,2.4,Red Wine,7050.0,5506
dist04,Gamay (Napa) * ,2848.04,62.2,Red Wine,3520.0,176576
dist04,Gamay Noir Au Jus Blanc ,2600.0,2.8,Red Wine,100.0,5200
dist04,Grenache * ,4459.52,155.7,Red Wine,3375.0,691145
dist04,Lagrein ,4000.0,3.0,Red Wine,100.0,12000
dist04,Malbec ,6076.43,933.0,Red Wine,5632.696078431372,5668908
dist04,Merlot ,4047.09,7563.6,Red Wine,6947.354609929078,30607461
dist04,Meunier * ,2036.03,206.1,Red Wine,4250.0,419416
dist04,Montepulciano ,2000.0,2.2,Red Wine,100.0,4000
dist04,Mourvedre * ,4056.68,12.8,Red Wine,7020.0,48672
dist04,Nebbiolo ,2500.0,0.5,Red Wine,100.0,0
dist04,Negrette * ,3800.0,0.4,Red Wine,100.0,0
dist04,Petit Verdot ,7394.07,1158.8,Red Wine,5186.102564102564,8562252
dist04,Petite Sirah ,4057.47,2045.3,Red Wine,6944.024390243902,8296565
dist04,Pinot Noir ,2770.82,5340.2,Red Wine,5357.646551724138,14791800
dist04,Primitivo ,4135.7,20.0,Red Wine,8433.333333333334,82700
dist04,Refosco * ,3800.0,0.7,Red Wine,100.0,0
dist04,Sangiovese * ,4495.74,232.2,Red Wine,3572.7272727272725,1042840
dist04,St Laurent ,2200.0,5.4,Red Wine,100.0,11000
dist04,Syrah * ,4088.84,1111.2,Red Wine,5331.632653061224,4541768
dist04,Tannat ,3700.0,5.1,Red Wine,100.0,18500
dist04,Tempranillo * ,4661.85,66.4,Red Wine,2208.3333333333335,307626
dist04,Touriga Nacional * ,3703.7,8.1,Red Wine,100.0,29624
dist04,Zinfandel ,4338.59,2402.1,Red Wine,6183.760683760684,10419876
dist04,Other Red  b/ ,4990.57,34.9,Red Wine,100.0,169660
dist05,Albarino ,771.58,201.3,White Wine,2850.0,154971
dist05,Chardonnay * ,938.75,2575.4,White Wine,5564.285714285715,2415350
dist05,Chenin Blanc ,445.61,438.7,White Wine,100.0,194910
dist05,Gewurztraminer ,700.0,237.3,White Wine,10800.0,165900
dist05,Grenache Blanc ,2748.58,3.5,White Wine,100.0,8244
dist05,Malvasia Bianca ,1500.0,3.0,White Wine,100.0,4500
dist05,Muscat Blanc * ,1419.5,49.8,White Wine,100.0,69531
dist05,Pinot Gris * ,704.18,1808.3,White Wine,7219.833333333333,1272832
dist05,Sauvignon Blanc ,1081.9,415.7,White Wine,2662.5,448615
dist05,Symphony ,270.0,134.2,White Wine,100.0,36180
dist05,Verdejo ,600.0,1.8,White Wine,100.0,600
dist05,Verdelho ,1136.56,9.3,White Wine,100.0,10224
dist05,Viognier ,792.39,117.8,White Wine,100.0,92664
dist05,White Riesling * ,823.31,416.3,White Wine,7722.6,342368
dist05,Other White  b/ ,1800.0,1.8,White Wine,100.0,1800
dist05,Barbera ,1528.26,9.2,Red Wine,100.0,13752
dist05,Cabernet Franc ,1925.0,33.5,Red Wine,100.0,63525
dist05,Cabernet Sauvignon ,2041.59,1029.9,Red Wine,2720.2380952380954,2100189
dist05,Carignane ,1709.82,44.8,Red Wine,7333.333333333333,75196
dist05,Charbono ,1200.0,12.1,Red Wine,100.0,14400
dist05,Gamay (Napa) * ,1682.61,112.6,Red Wine,100.0,188384
dist05,Graciano ,1250.0,0.8,Red Wine,100.0,0
dist05,Grenache * ,1386.17,9.4,Red Wine,100.0,12474
dist05,Malbec ,1975.74,57.2,Red Wine,875.0,112575
dist05,Merlot ,1702.71,472.6,Red Wine,1250.0,803344
dist05,Mourvedre * ,1696.84,15.8,Red Wine,100.0,25440
dist05,Petit Verdot ,1951.43,165.6,Red Wine,100.0,321915
dist05,Petite Sirah ,1669.76,960.3,Red Wine,426.3157894736842,1602240
dist05,Pinot Noir ,892.87,5984.2,Red Wine,7084.523809523809,5337728
dist05,Primitivo ,1625.0,2.9,Red Wine,100.0,3250
dist05,Sangiovese * ,1455.87,55.5,Red Wine,2300.0,80025
dist05,Syrah * ,2026.24,151.2,Red Wine,2075.0,305926
dist05,Tannat ,1400.0,1.4,Red Wine,100.0,1400
dist05,Tempranillo * ,1362.71,11.8,Red Wine,100.0,14982
dist05,Teroldego ,1263.98,46.5,Red Wine,100.0,58098
dist05,Zinfandel ,1883.52,175.5,Red Wine,3040.0,329525
dist06,Albarino ,1400.0,0.3,White Wine,100.0,0
dist06,Chardonnay * ,1019.62,1813.8,White Wine,8524.25925925926,1847447
dist06,Fiano ,1800.0,7.1,White Wine,100.0,12600
dist06,Gewurztraminer ,2000.0,0.1,White Wine,14400.0,0
dist06,Gruner Veltliner ,2000.0,1.9,White Wine,100.0,2000
dist06,Malvasia Bianca ,1179.62,26.5,White Wine,100.0,30654
dist06,Muscat Blanc * ,686.34,34.4,White Wine,100.0,23324
dist06,Palomino * ,2000.0,17.9,White Wine,100.0,34000
dist06,Pinot Blanc ,1317.52,12.1,White Wine,16200.0,15804
dist06,Pinot Gris * ,344.47,553.2,White Wine,4677.272727272727,190232
dist06,Sauvignon Blanc ,837.67,474.9,White Wine,4738.0952380952385,396738
dist06,Semillon ,1600.0,0.8,White Wine,17000.0,0
dist06,Verdelho ,1300.0,12.9,White Wine,100.0,15600
dist06,Viognier ,1537.1,12.4,White Wine,5250.0,18444
dist06,White Riesling * ,1660.87,6.9,White Wine,3717.5,9960
dist06,Other White  b/ ,469.06,7.9,White Wine,100.0,3283
dist06,Alicante Bouschet * ,1113.21,65.5,Red Wine,14300.166666666666,72345
dist06,Barbera ,1110.53,16.1,Red Wine,3522.222222222222,17760
dist06,Cabernet Franc ,2484.57,116.1,Red Wine,4726.8,288144
dist06,Cabernet Sauvignon ,1275.04,2867.2,Red Wine,6258.058823529412,3655425
dist06,Carignane ,1635.3,414.1,Red Wine,7631.107142857143,676890
dist06,Cinsaut * ,838.68,9.5,Red Wine,8950.0,7542
dist06,Counoise ,1700.0,1.0,Red Wine,100.0,1700
dist06,Dolcetto ,3300.0,5.8,Red Wine,100.0,16500
dist06,Durif ,1550.0,1.2,Red Wine,100.0,1550
dist06,Grenache * ,1283.98,392.3,Red Wine,10863.74074074074,502936
dist06,Malbec ,1839.72,177.7,Red Wine,7126.315789473684,325503
dist06,Merlot ,1054.19,1466.1,Red Wine,10733.444444444445,1545164
dist06,Mission ,100.0,0.2,Red Wine,100.0,0
dist06,Montepulciano ,800.0,1.6,Red Wine,100.0,800
dist06,Mourvedre * ,1695.82,938.8,Red Wine,6880.677419354839,1589910
dist06,Nebbiolo ,3168.32,10.1,Red Wine,8025.0,31680
dist06,Petit Verdot ,823.35,1247.0,Red Wine,8937.0,1026281
dist06,Petite Sirah ,1155.12,1461.9,Red Wine,8215.363636363636,1687455
dist06,Pinot Noir ,2668.4,819.4,Red Wine,9132.017543859649,2185092
dist06,Primitivo ,753.82,30.1,Red Wine,100.0,22590
